"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Antigua and Barbuda","ATG","Land area (sq. km)","AG.LND.TOTL.K2","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","440","","",
"Australia","AUS","Land area (sq. km)","AG.LND.TOTL.K2","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","7682300","","",
"Austria","AUT","Land area (sq. km)","AG.LND.TOTL.K2","82450","82450","82450","82450","82450","82450","82450","82450","82450","82450","82450","82450","82450","82450","82450","82450","82450","82450","82450","82450","82450","82450","82450","82450","82450","82450","82450","82450","82450","82450","82450","82450","82450","82450","82450","82450","82450","82450","82450","82450","82450","82450","82450","82450","82450","82450","82450","82450","82409","82409","82409","","",
"Azerbaijan","AZE","Land area (sq. km)","AG.LND.TOTL.K2","83210","83210","83210","83210","83210","83210","83210","83210","83210","83210","83210","83210","83210","83210","83210","83210","83210","83210","83210","83210","83210","83210","83210","83210","83210","83210","83210","83210","83210","83210","83210","83217","83217","83217","83217","83217","83217","83092","82705","82605","82604","82618","82652","82672","82660","82637","82629","82627","82622","82656","82658","","",
"Burundi","BDI","Land area (sq. km)","AG.LND.TOTL.K2","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","25680","","",
"Belgium","BEL","Land area (sq. km)","AG.LND.TOTL.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30280","30280","30280","30280","30280","30280","30280","30280","30280","30280","30280","30280","","",
"Benin","BEN","Land area (sq. km)","AG.LND.TOTL.K2","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","112760","","",
"Burkina Faso","BFA","Land area (sq. km)","AG.LND.TOTL.K2","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","273600","","",
"Bangladesh","BGD","Land area (sq. km)","AG.LND.TOTL.K2","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","130170","","",
"Bulgaria","BGR","Land area (sq. km)","AG.LND.TOTL.K2","110630","110630","110630","110630","110630","110630","110630","110630","110630","110630","110630","110630","110630","110630","110630","110630","110630","110630","110630","110630","110630","110630","110630","110630","110630","110630","110630","110630","110630","110630","110630","110630","110630","110630","110630","110630","110630","110630","110630","110630","110630","108800","108770","108760","108640","108630","108610","108610","108560","108560","108560","","",
"Bahrain","BHR","Land area (sq. km)","AG.LND.TOTL.K2","690","690","690","690","690","690","690","690","690","690","690","690","690","690","690","690","690","690","690","690","690","690","690","690","690","690","690","690","690","690","690","710","710","710","710","710","710","710","710","710","710","710","720","730","740","740","750","760","760","760","760","","",
"Bahamas, The","BHS","Land area (sq. km)","AG.LND.TOTL.K2","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","10010","","",
"Bosnia and Herzegovina","BIH","Land area (sq. km)","AG.LND.TOTL.K2","51000","51000","51000","51000","51000","51000","51000","51000","51000","51000","51000","51000","51000","51000","51000","51000","51000","51000","51000","51000","51000","51000","51000","51000","51000","51000","51000","51000","51000","51000","51000","51000","51000","51000","51000","51000","51000","51000","51000","51000","51000","51000","51000","51000","51000","51000","51000","51000","51000","51000","51000","","",
"Belarus","BLR","Land area (sq. km)","AG.LND.TOTL.K2","202840","202840","202840","202840","202840","202840","202840","202840","202840","202840","202840","202840","202840","202840","202840","202840","202840","202840","202840","202840","202840","202840","202840","202840","202840","202840","202840","202840","202840","202840","202840","202840","202840","202840","202840","202840","202840","202840","202840","202840","202840","202830","202830","202810","202830","202900","202900","202900","202820","202900","202910","","",
"Belize","BLZ","Land area (sq. km)","AG.LND.TOTL.K2","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","22810","","",
"Bermuda","BMU","Land area (sq. km)","AG.LND.TOTL.K2","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","","",
"Bolivia","BOL","Land area (sq. km)","AG.LND.TOTL.K2","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","1083300","","",
"Brazil","BRA","Land area (sq. km)","AG.LND.TOTL.K2","8459420","8459420","8459420","8459420","8459420","8459420","8459420","8459420","8459420","8459420","8459420","8459420","8459420","8459420","8459420","8459420","8459420","8459420","8459420","8459420","8459420","8459420","8459420","8459420","8459420","8459420","8459420","8459420","8459420","8459420","8459420","8459420","8459420","8459420","8459420","8459420","8459420","8459420","8459420","8459420","8459420","8459420","8459420","8459420","8459420","8459420","8459420","8459420","8459420","8459420","8459420","","",
"Barbados","BRB","Land area (sq. km)","AG.LND.TOTL.K2","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","430","","",
"Brunei Darussalam","BRN","Land area (sq. km)","AG.LND.TOTL.K2","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","5270","","",
"Bhutan","BTN","Land area (sq. km)","AG.LND.TOTL.K2","47000","47000","47000","47000","47000","47000","47000","47000","47000","47000","47000","47000","47000","47000","47000","47000","47000","47000","47000","47000","47000","47000","47000","47000","47000","47000","47000","47000","47000","47000","47000","47000","47000","40077","40077","40077","40077","40077","40077","40077","40077","40077","40077","38394","38394","38394","38394","38394","38394","38394","38394","","",
"Botswana","BWA","Land area (sq. km)","AG.LND.TOTL.K2","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","566730","","",
"Sub-Saharan Africa (IFC classification)","CAA","Land area (sq. km)","AG.LND.TOTL.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Central African Republic","CAF","Land area (sq. km)","AG.LND.TOTL.K2","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","622980","","",
"Canada","CAN","Land area (sq. km)","AG.LND.TOTL.K2","9093510","9093510","9093510","9093510","9093510","9093510","9093510","9093510","9093510","9093510","9093510","9093510","9093510","9093510","9093510","9093510","9093510","9093510","9093510","9093510","9093510","9093510","9093510","9093510","9093510","9093510","9093510","9093510","9093510","9093510","9093510","9093510","9093510","9093510","9093510","9093510","9093510","9093510","9093510","9093510","9093510","9093510","9093510","9093510","9093510","9093510","9093510","9093510","9093510","9093510","9093510","","",
"East Asia and the Pacific (IFC classification)","CEA","Land area (sq. km)","AG.LND.TOTL.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe and Central Asia (IFC classification)","CEU","Land area (sq. km)","AG.LND.TOTL.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Land area (sq. km)","AG.LND.TOTL.K2","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","","",
"Channel Islands","CHI","Land area (sq. km)","AG.LND.TOTL.K2","194","194","194","194","194","194","194","194","194","194","194","194","194","194","194","194","194","194","194","194","194","194","194","194","194","194","194","194","194","194","194","194","194","194","194","194","194","194","194","194","194","194","194","194","194","194","194","194","194","190","190","","",
"Chile","CHL","Land area (sq. km)","AG.LND.TOTL.K2","743532","743532","743532","743532","743532","743532","743532","743532","743532","743532","743532","743532","743532","743532","743532","743532","743532","743532","743532","743532","743532","743532","743532","743532","743532","743532","743532","743532","743532","743532","743532","743532","743532","743532","743532","743532","743532","743532","743532","743532","743532","743532","743532","743532","743532","743532","743532","743532","743532","743532","743532","","",
"China","CHN","Land area (sq. km)","AG.LND.TOTL.K2","9327450","9327450","9327450","9327450","9327450","9327450","9327450","9327450","9327450","9327450","9327450","9327450","9327450","9327450","9327440","9327440","9327430","9327430","9327430","9327430","9327430","9327420","9327420","9327420","9327420","9327420","9327420","9327420","9327420","9327420","9327420","9327420","9327420","9327420","9327480","9327480","9327480","9327480","9327480","9327480","9327486","9327487","9327487","9327488","9327488","9327488.6","9327489.2","9327489.2","9327489.5","9327489.7","9327489.9","","",
"Cote d'Ivoire","CIV","Land area (sq. km)","AG.LND.TOTL.K2","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","318000","","",
"Latin America and the Caribbean (IFC classification)","CLA","Land area (sq. km)","AG.LND.TOTL.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Middle East and North Africa (IFC classification)","CME","Land area (sq. km)","AG.LND.TOTL.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cameroon","CMR","Land area (sq. km)","AG.LND.TOTL.K2","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","472710","","",
"Congo, Rep.","COG","Land area (sq. km)","AG.LND.TOTL.K2","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","341500","","",
"Colombia","COL","Land area (sq. km)","AG.LND.TOTL.K2","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","1109500","","",
"Comoros","COM","Land area (sq. km)","AG.LND.TOTL.K2","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","1861","","",
"Cape Verde","CPV","Land area (sq. km)","AG.LND.TOTL.K2","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","4030","","",
"Costa Rica","CRI","Land area (sq. km)","AG.LND.TOTL.K2","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","51060","","",
"South Asia (IFC classification)","CSA","Land area (sq. km)","AG.LND.TOTL.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Caribbean small states","CSS","Land area (sq. km)","AG.LND.TOTL.K2","404800","404800","404800","404800","404800","404800","404800","404800","404800","404800","404800","404800","404800","404800","404940","404940","404940","404940","404940","404850","404850","404850","404850","404850","404850","404850","404850","404850","404850","404850","404850","404850","404850","404850","404850","404850","404850","404850","404850","404850","404850","404850","404850","404850","404850","404850","404850","404850","404850","404850","404850","","",
"Cuba","CUB","Land area (sq. km)","AG.LND.TOTL.K2","107400","107400","107400","107400","107400","107400","107400","107400","107400","107400","107400","107400","107400","107400","107400","107400","107400","107400","107400","107400","107400","107400","107400","107400","107400","107400","107400","107400","107400","107400","107400","107400","107400","107400","107400","107400","107400","107400","107400","107400","107400","106390","106400","106410","106440","106430","106440","106440","106440","106440","106440","","",
"Curacao","CUW","Land area (sq. km)","AG.LND.TOTL.K2","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","444","","",
"Cayman Islands","CYM","Land area (sq. km)","AG.LND.TOTL.K2","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","240","","",
"Cyprus","CYP","Land area (sq. km)","AG.LND.TOTL.K2","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","9240","","",
"Czech Republic","CZE","Land area (sq. km)","AG.LND.TOTL.K2","77270","77270","77270","77270","77270","77270","77270","77270","77270","77270","77270","77270","77270","77270","77270","77270","77270","77270","77270","77270","77270","77270","77270","77270","77270","77270","77270","77270","77270","77270","77270","77270","77270","77270","77270","77270","77270","77270","77270","77270","77270","77270","77270","77260","77260","77250","77250","77250","77250","77240","77240","","",
"Germany","DEU","Land area (sq. km)","AG.LND.TOTL.K2","349130","349130","349130","349130","349130","349130","349130","349130","349130","349130","349130","349130","349130","349130","349130","349130","349130","349130","349130","349130","349130","349130","349130","349130","349130","349130","349130","349130","349130","349130","349130","349130","349120","349110","349100","349090","349050","349020","348980","348950","348900","348860","348810","348770","348760","348720","348670","348630","348610","348570","348570","","",
"Djibouti","DJI","Land area (sq. km)","AG.LND.TOTL.K2","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","23180","","",
"Dominica","DMA","Land area (sq. km)","AG.LND.TOTL.K2","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","","",
"Denmark","DNK","Land area (sq. km)","AG.LND.TOTL.K2","42370","42370","42370","42370","42370","42370","42370","42370","42370","42370","42370","42370","42370","42370","42370","42370","42370","42370","42380","42380","42380","42380","42380","42380","42380","42380","42390","42390","42390","42390","42390","42430","42430","42430","42430","42430","42430","42430","42430","42430","42430","42430","42430","42430","42430","42430","42430","42430","42430","42430","42430","","",
"Dominican Republic","DOM","Land area (sq. km)","AG.LND.TOTL.K2","48320","48320","48320","48320","48320","48320","48320","48320","48320","48320","48320","48320","48320","48320","48320","48320","48320","48320","48320","48320","48320","48320","48320","48320","48320","48320","48320","48320","48320","48320","48320","48320","48320","48320","48320","48320","48320","48320","48320","48320","48320","48320","48320","48320","48320","48320","48320","48320","48320","48320","48320","","",
"Algeria","DZA","Land area (sq. km)","AG.LND.TOTL.K2","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","","",
"East Asia & Pacific (developing only)","EAP","Land area (sq. km)","AG.LND.TOTL.K2","15870980","15870980","15870980","15870980","15870980","15870980","15870980","15870980","15870980","15870980","15870980","15870980","15870950","15870910","15870880","15870880","15870870","15870870","15870870","15870870","15870870","15870860","15870860","15870860","15870860","15870860","15870860","15870860","15870860","15870860","15869060","15869060","15869060","15869060","15871560","15871560","15871560","15871560","15871560","15857130","15857166","15856627","15856147","15856028","15855968","15856078.6","15856129.2","15855919.2","15855909.5","15855869.7","15855899.9","","",
"East Asia & Pacific (all income levels)","EAS","Land area (sq. km)","AG.LND.TOTL.K2","24343770","24343770","24343770","24343770","24343770","24343770","24343770","24343770","24343770","24343770","24343770","24343670","24343640","24343600","24343470","24343470","24343360","24343360","24343360","24343260","24343360","24343150","24343150","24341650","24341550","24341650","24341550","24341550","24341550","24341550","24339750","24339750","24339750","24339750","24342710","24342610","24342610","24342610","24342610","24328180","24326226","24325742","24325284","24325187","24325157","24325302.6","24325394.2","24325299.2","24325359.5","24325319.7","24325349.9","","",
"Europe & Central Asia (developing only)","ECA","Land area (sq. km)","AG.LND.TOTL.K2","6339297","6339277","6339287","6339287","6339277","6339267","6339257","6339247","6339247","6339237","6339227","6339227","6339227","6339227","6339227","6339207","6339217","6339227","6339177","6339167","6339157","6339147","6339137","6339137","6339137","6339137","6339137","6339127","6338137","6338137","6338247","6338254","6338324","6338364","6338334","6338364","6338304","6338229","6337842","6337652","6337651","6335975","6336049","6336099","6336007","6336024","6335676","6335674","6336609","6336677","6336799","","",
"Europe & Central Asia (all income levels)","ECS","Land area (sq. km)","AG.LND.TOTL.K2","27296349","27296329","27296339","27296339","27296329","27296319","27296309","27296299","27296299","27296289","27296279","27296279","27296259","27296189","27296039","27295969","27295919","27295919","27295879","27295779","27295749","27295729","27295679","27295679","27295669","27295649","27295649","27295629","27294619","27294609","27294719","27294772","27291062","27286212","27283212","27282862","27352202","27354687","27361460","27386500","27385059","27386303","27386527","27384847","27386805","27380472","27380164","27379907","27380705","27379560","27379578","","",
"Ecuador","ECU","Land area (sq. km)","AG.LND.TOTL.K2","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","276840","248360","248360","248360","248360","248360","248360","248360","248360","248360","248360","248360","248360","248360","248360","","",
"Egypt, Arab Rep.","EGY","Land area (sq. km)","AG.LND.TOTL.K2","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","995450","","",
"Euro area","EMU","Land area (sq. km)","AG.LND.TOTL.K2","2520970","2520970","2520970","2520970","2520970","2520970","2520970","2520970","2520970","2520970","2520970","2520970","2520970","2520940","2520820","2520760","2520730","2520720","2520730","2520660","2520650","2520650","2520620","2520630","2520630","2520630","2520630","2520630","2520630","2520630","2520630","2520630","2520620","2520610","2520600","2520590","2520550","2520520","2520480","2552880","2552350","2552830","2552990","2552910","2552770","2552140","2552200","2551660","2551559","2551520","2551507","","",
"Eritrea","ERI","Land area (sq. km)","AG.LND.TOTL.K2","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","101000","","",
"Spain","ESP","Land area (sq. km)","AG.LND.TOTL.K2","499780","499780","499780","499780","499780","499780","499780","499780","499780","499780","499780","499780","499780","499750","499630","499570","499540","499530","499540","499470","499460","499460","499430","499440","499440","499440","499440","499440","499440","499440","499440","499440","499440","499440","499440","499440","499440","499440","499440","499000","498520","499040","499210","499180","499090","498980","499110","498800","498800","498800","498800","","",
